name	value	category
Calephelis_nemesis	2.5	aM
Calephelis_virginiensis	91.8	dS
Calephelis_virginiensis	0.6	cD
Calephelis_virginiensis	4.4	bF
Calephelis_virginiensis	3.2	aM
Plodia_interpunctella	97	dS
Plodia_interpunctella	1.2	cD
Plodia_interpunctella	0.4	bF
Plodia_interpunctella	1.4	aM
Galleria_mellonella	96.7	dS
Galleria_mellonella	1.6	cD
Galleria_mellonella	0.2	bF
Galleria_mellonella	1.5	aM
Amyelois_transitella	96	dS
Amyelois_transitella	1.9	cD
Amyelois_transitella	0.7	bF
Amyelois_transitella	1.4	aM
Eumeta_japonica	91.2	dS
Eumeta_japonica	1.6	cD
Eumeta_japonica	1.8	bF
Eumeta_japonica	5.4	aM
Plutella_xylostella	97.1	dS
Plutella_xylostella	0.7	cD
Plutella_xylostella	0.7	bF
Plutella_xylostella	1.5	aM
Zerene_cesonia	93.2	dS
Zerene_cesonia	2.1	cD
Zerene_cesonia	1.1	bF
Zerene_cesonia	3.6	aM
Pieris_rapae	97.3	dS
Pieris_rapae	0.8	cD
Pieris_rapae	0.3	bF
Pieris_rapae	1.6	aM
Phoebis_sennae	90.3	dS
Phoebis_sennae	0.8	cD
Phoebis_sennae	0.7	bF
Phoebis_sennae	8.2	aM
Leptidea_sinapis	83.2	dS
Leptidea_sinapis	0.9	cD
Leptidea_sinapis	8.6	bF
Leptidea_sinapis	7.3	aM
Delias_pasithoe	92.2	dS
Delias_pasithoe	4.2	cD
Delias_pasithoe	1.5	bF
Delias_pasithoe	2.1	aM
Colias_croceus	90.3	dS
Colias_croceus	2.2	cD
Colias_croceus	3.1	bF
Colias_croceus	4.4	aM
Papilio_dardanus_tibullus	93.6	dS
Papilio_dardanus_tibullus	0.3	cD
Papilio_dardanus_tibullus	3.4	bF
Papilio_dardanus_tibullus	2.7	aM
Papilio_bianor	59.8	dS
Papilio_bianor	0.4	cD
Papilio_bianor	24.9	bF
Papilio_bianor	14.9	aM
Papilio_memnon	95.8	dS
Papilio_memnon	1.1	cD
Papilio_memnon	1.9	bF
Papilio_memnon	1.2	aM
Papilio_machaon	95.2	dS
Papilio_machaon	0.7	cD
Papilio_machaon	2	bF
Papilio_machaon	2.1	aM
Papilio_xuthus	97.1	dS
Papilio_xuthus	1.1	cD
Papilio_xuthus	0.7	bF
Papilio_xuthus	1.1	aM
Papilio_glaucus	93.5	dS
Papilio_glaucus	0.9	cD
Papilio_glaucus	2.3	bF
Papilio_glaucus	3.3	aM
Papilio_polytes	92.8	dS
Papilio_polytes	0.4	cD
Papilio_polytes	3	bF
Papilio_polytes	3.8	aM
Ornithoptera_priamus	16.7	dS
Ornithoptera_priamus	2.6	cD
Ornithoptera_priamus	8.4	bF
Ornithoptera_priamus	72.3	aM
Graphium_doson	27.1	dS
Graphium_doson	0.5	cD
Graphium_doson	32	bF
Graphium_doson	40.4	aM
Vanessa_tameamea	98	dS
Vanessa_tameamea	0.4	cD
Vanessa_tameamea	0.7	bF
Vanessa_tameamea	0.9	aM
Taenaris_catops	31	dS
Taenaris_catops	0.8	cD
Taenaris_catops	26.3	bF
Taenaris_catops	41.9	aM
Pararge_aegeria	86.5	dS
Pararge_aegeria	1.5	cD
Pararge_aegeria	7.8	bF
Pararge_aegeria	4.2	aM
Neruda_aoede	51.6	dS
Neruda_aoede	0.4	cD
Neruda_aoede	27.8	bF
Neruda_aoede	20.2	aM
Melitaea_cinxia	82.3	dS
Melitaea_cinxia	0.1	cD
Melitaea_cinxia	9.7	bF
Melitaea_cinxia	7.9	aM
Maniola_jurtina	69.6	dS
Maniola_jurtina	17.1	cD
Maniola_jurtina	3.8	bF
Maniola_jurtina	9.5	aM
Laparus_doris_delila	24.7	dS
Laparus_doris_delila	0.2	cD
Laparus_doris_delila	29.9	bF
Laparus_doris_delila	45.2	aM
Laparus_doris_doris	32.3	dS
Laparus_doris_doris	0.2	cD
Laparus_doris_doris	31.5	bF
Laparus_doris_doris	36	aM
Laparus_doris	39.7	dS
Laparus_doris	0.3	cD
Laparus_doris	34.5	bF
Laparus_doris	25.5	aM
Hypolimnas_misippus	97.8	dS
Hypolimnas_misippus	0.1	cD
Hypolimnas_misippus	0.8	bF
Hypolimnas_misippus	1.3	aM
Heliconius_xanthocles	29.6	dS
Heliconius_xanthocles	0.2	cD
Heliconius_xanthocles	28.1	bF
Heliconius_xanthocles	42.1	aM
Heliconius_wallacei	41.5	dS
Heliconius_wallacei	0.3	cD
Heliconius_wallacei	32.5	bF
Heliconius_wallacei	25.7	aM
Heliconius_pachinus	62.3	dS
Heliconius_pachinus	0.4	cD
Heliconius_pachinus	20.2	bF
Heliconius_pachinus	17.1	aM
Heliconius_melpomene_vulcanus	40.2	dS
Heliconius_melpomene_vulcanus	0.4	cD
Heliconius_melpomene_vulcanus	30.5	bF
Heliconius_melpomene_vulcanus	28.9	aM
Heliconius_melpomene_thelxiopeia	51.1	dS
Heliconius_melpomene_thelxiopeia	1	cD
Heliconius_melpomene_thelxiopeia	27.5	bF
Heliconius_melpomene_thelxiopeia	20.4	aM
Heliconius_melpomene_rosina	68.8	dS
Heliconius_melpomene_rosina	1.2	cD
Heliconius_melpomene_rosina	19.3	bF
Heliconius_melpomene_rosina	10.7	aM
Heliconius_melpomene_plesseni	45.1	dS
Heliconius_melpomene_plesseni	0.2	cD
Heliconius_melpomene_plesseni	28.9	bF
Heliconius_melpomene_plesseni	25.8	aM
Heliconius_melpomene_meriana	37.2	dS
Heliconius_melpomene_meriana	1.2	cD
Heliconius_melpomene_meriana	26.5	bF
Heliconius_melpomene_meriana	35.1	aM
Heliconius_melpomene_ecuadorensis	38	dS
Heliconius_melpomene_ecuadorensis	0.2	cD
Heliconius_melpomene_ecuadorensis	30.9	bF
Heliconius_melpomene_ecuadorensis	30.9	aM
Heliconius_melpomene_bellula	42.1	dS
Heliconius_melpomene_bellula	0.2	cD
Heliconius_melpomene_bellula	28.4	bF
Heliconius_melpomene_bellula	29.3	aM
Heliconius_melpomene_cythera	37	dS
Heliconius_melpomene_cythera	0.2	cD
Heliconius_melpomene_cythera	29.9	bF
Heliconius_melpomene_cythera	32.9	aM
Heliconius_melpomene_amaryllis	69.1	dS
Heliconius_melpomene_amaryllis	0.7	cD
Heliconius_melpomene_amaryllis	19.7	bF
Heliconius_melpomene_amaryllis	10.5	aM
Heliconius_melpomene_amandus	56.9	dS
Heliconius_melpomene_amandus	0.5	cD
Heliconius_melpomene_amandus	26.3	bF
Heliconius_melpomene_amandus	16.3	aM
Heliconius_hierax	28.7	dS
Heliconius_hierax	0.1	cD
Heliconius_hierax	31.2	bF
Heliconius_hierax	40	aM
Heliconius_hecuba_flava	31.7	dS
Heliconius_hecuba_flava	0.1	cD
Heliconius_hecuba_flava	32.3	bF
Heliconius_hecuba_flava	35.9	aM
Heliconius_hecale	63.7	dS
Heliconius_hecale	0.5	cD
Heliconius_hecale	22.3	bF
Heliconius_hecale	13.5	aM
Heliconius_elevatus	49.5	dS
Heliconius_elevatus	0.4	cD
Heliconius_elevatus	30.4	bF
Heliconius_elevatus	19.7	aM
Heliconius_elevatus_bari	60	dS
Heliconius_elevatus_bari	1	cD
Heliconius_elevatus_bari	24.8	bF
Heliconius_elevatus_bari	14.2	aM
Heliconius_cydno_zelinde	52.8	dS
Heliconius_cydno_zelinde	0.1	cD
Heliconius_cydno_zelinde	28.7	bF
Heliconius_cydno_zelinde	18.4	aM
Heliconius_cydno_weymeri	24.8	dS
Heliconius_cydno_weymeri	0.2	cD
Heliconius_cydno_weymeri	29.1	bF
Heliconius_cydno_weymeri	45.9	aM
Heliconius_cydno_cydnides	56.8	dS
Heliconius_cydno_cydnides	0.4	cD
Heliconius_cydno_cydnides	26	bF
Heliconius_cydno_cydnides	16.8	aM
Heliconius_cydno_alithea	66.9	dS
Heliconius_cydno_alithea	0.5	cD
Heliconius_cydno_alithea	20.5	bF
Heliconius_cydno_alithea	12.1	aM
Heliconius_cydno_chioneus	47.3	dS
Heliconius_cydno_chioneus	0.1	cD
Heliconius_cydno_chioneus	29.4	bF
Heliconius_cydno_chioneus	23.2	aM
Heliconius_pardalinus	58.2	dS
Heliconius_pardalinus	1.3	cD
Heliconius_pardalinus	25.8	bF
Heliconius_pardalinus	14.7	aM
Heliconius_heurippa	71.2	dS
Heliconius_heurippa	0.9	cD
Heliconius_heurippa	17.7	bF
Heliconius_heurippa	10.2	aM
Heliconius_himera	95.1	dS
Heliconius_himera	0.6	cD
Heliconius_himera	1.7	bF
Heliconius_himera	2.6	aM
Heliconius_hermathena	97.1	dS
Heliconius_hermathena	0.1	cD
Heliconius_hermathena	1.5	bF
Heliconius_hermathena	1.3	aM
Heliconius_nattereri	98.6	dS
Heliconius_nattereri	0.3	cD
Heliconius_nattereri	0.3	bF
Heliconius_nattereri	0.8	aM
Heliconius_melpomene_malleti	6.8	dS
Heliconius_melpomene_malleti	1.6	cD
Heliconius_melpomene_malleti	6.4	bF
Heliconius_melpomene_malleti	85.2	aM
Heliconius_numata_tarapotensis	4.1	dS
Heliconius_numata_tarapotensis	0.1	cD
Heliconius_numata_tarapotensis	3.4	bF
Heliconius_numata_tarapotensis	92.4	aM
Heliconius_pardalinus_sergestus	74.5	dS
Heliconius_pardalinus_sergestus	0.4	cD
Heliconius_pardalinus_sergestus	15.9	bF
Heliconius_pardalinus_sergestus	9.2	aM
Heliconius_timareta	5.3	dS
Heliconius_timareta	0.1	cD
Heliconius_timareta	3.3	bF
Heliconius_timareta	91.3	aM
Heliconius_timareta_timareta	6.4	dS
Heliconius_timareta_timareta	0	cD
Heliconius_timareta_timareta	3.1	bF
Heliconius_timareta_timareta	90.5	aM
Heliconius_numata_silvana	4.5	dS
Heliconius_numata_silvana	0.1	cD
Heliconius_numata_silvana	4.5	bF
Heliconius_numata_silvana	90.9	aM
Heliconius_melpomene_aglaope	75.2	dS
Heliconius_melpomene_aglaope	0.5	cD
Heliconius_melpomene_aglaope	15.8	bF
Heliconius_melpomene_aglaope	8.5	aM
Heliconius_ethilla_aerotome	77.5	dS
Heliconius_ethilla_aerotome	0.7	cD
Heliconius_ethilla_aerotome	13.3	bF
Heliconius_ethilla_aerotome	8.5	aM
Heliconius_ismenius	78.9	dS
Heliconius_ismenius	0.4	cD
Heliconius_ismenius	13.3	bF
Heliconius_ismenius	7.4	aM
Heliconius_ethilla	74.5	dS
Heliconius_ethilla	0.4	cD
Heliconius_ethilla	15.1	bF
Heliconius_ethilla	10	aM
Heliconius_ismenius_metaphorus	5.8	dS
Heliconius_ismenius_metaphorus	0.1	cD
Heliconius_ismenius_metaphorus	3.4	bF
Heliconius_ismenius_metaphorus	90.7	aM
Heliconius_melpomene_melpomene	95.2	dS
Heliconius_melpomene_melpomene	0.4	cD
Heliconius_melpomene_melpomene	1.7	bF
Heliconius_melpomene_melpomene	2.7	aM
Danaus_melanippus	86.2	dS
Danaus_melanippus	0.7	cD
Danaus_melanippus	7.9	bF
Danaus_melanippus	5.2	aM
Danaus_plexippus_plexippus	96.2	dS
Danaus_plexippus_plexippus	1.6	cD
Danaus_plexippus_plexippus	1.2	bF
Danaus_plexippus_plexippus	1	aM
Danaus_chrysippus	92.9	dS
Danaus_chrysippus	0.9	cD
Danaus_chrysippus	1.1	bF
Danaus_chrysippus	5.1	aM
Bicyclus_anynana	97.1	dS
Bicyclus_anynana	0.7	cD
Bicyclus_anynana	1	bF
Bicyclus_anynana	1.2	aM
Aphantopus_hyperantus	97.3	dS
Aphantopus_hyperantus	0.9	cD
Aphantopus_hyperantus	0.4	bF
Aphantopus_hyperantus	1.4	aM
Agraulis_vanillae_vanillae	93.6	dS
Agraulis_vanillae_vanillae	1.7	cD
Agraulis_vanillae_vanillae	2.1	bF
Agraulis_vanillae_vanillae	2.6	aM
Trichoplusia_ni	93.1	dS
Trichoplusia_ni	4.6	cD
